Part Instance,Node ID,Values,Measurement Type,Element Type,Interpolation Type,Element Size,Number of Elements,Time Taken (s)
OSSO-4,B,0.0042196,"U, Magnitude",quad,lin,0.5,16027,16.0
OSSO-4,C,0.0055608,"U, Magnitude",quad,lin,0.5,16027,16.0
OSSO-4,D,0.00120685,"U, Magnitude",quad,lin,0.5,16027,16.0
OSSO-4,A,0.21627,"S, Mises",quad,lin,0.5,16027,16.0
OSSO-4,B,0.173913,"S, Mises",quad,lin,0.5,16027,16.0
OSSO-4,C,0.103951,"S, Mises",quad,lin,0.5,16027,16.0
OSSO-4,D,0.0843433,"S, Mises",quad,lin,0.5,16027,16.0
OSSO-4,A,0.00258583,"U, Magnitude",tri,quad,0.5,26716,20.0
OSSO-4,B,0.00421865,"U, Magnitude",tri,quad,0.5,26716,20.0
OSSO-4,C,0.00555922,"U, Magnitude",tri,quad,0.5,26716,20.0
OSSO-4,D,0.0012065,"U, Magnitude",tri,quad,0.5,26716,20.0
OSSO-4,A,0.00258698,"U, Magnitude",quad,lin,1.0,4017,16.0
OSSO-4,B,0.00422145,"U, Magnitude",quad,lin,1.0,4017,16.0
OSSO-4,C,0.00556413,"U, Magnitude",quad,lin,1.0,4017,16.0
OSSO-4,D,0.00120696,"U, Magnitude",quad,lin,1.0,4017,16.0
OSSO-4,A,0.00261524,"U, Magnitude",quad,lin,5.0,231,16.0
OSSO-4,B,0.00428102,"U, Magnitude",quad,lin,5.0,231,16.0
OSSO-4,C,0.00567077,"U, Magnitude",quad,lin,5.0,231,16.0
OSSO-4,D,0.00119981,"U, Magnitude",quad,lin,5.0,231,16.0
OSSO-4,A,0.215191,"S, Mises",tri,quad,2.0,1737,17.0
OSSO-4,B,0.180725,"S, Mises",tri,quad,2.0,1737,17.0
OSSO-4,C,0.1071,"S, Mises",tri,quad,2.0,1737,17.0
OSSO-4,D,0.0923324,"S, Mises",tri,quad,2.0,1737,17.0
OSSO-4,A,0.223038,"S, Mises",quad,lin,2.0,1024,17.0
OSSO-4,B,0.153708,"S, Mises",quad,lin,2.0,1024,17.0
OSSO-4,C,0.0976906,"S, Mises",quad,lin,2.0,1024,17.0
OSSO-4,D,0.0950774,"S, Mises",quad,lin,2.0,1024,17.0
