Part Instance,Node ID,Attached elements,Values,Measurement Type,Element Type,Interpolation Type,Element Size
OSSO-4,B,117,0.00327231,"U, Magnitude",tri,lin,10.0
OSSO-4,B,122,0.00327231,"U, Magnitude",tri,lin,10.0
OSSO-4,C,10,0.00407499,"U, Magnitude",tri,lin,10.0
OSSO-4,C,44,0.00407499,"U, Magnitude",tri,lin,10.0
OSSO-4,C,55,0.00407499,"U, Magnitude",tri,lin,10.0
OSSO-4,D,4,0.000850855,"U, Magnitude",tri,lin,10.0
OSSO-4,D,65,0.000850855,"U, Magnitude",tri,lin,10.0
OSSO-4,D,72,0.000850855,"U, Magnitude",tri,lin,10.0
OSSO-4,D,76,0.000850855,"U, Magnitude",tri,lin,10.0
OSSO-4,A,1567,0.214983,"S, Mises",tri,quad,1.0
OSSO-4,A,1696,0.214983,"S, Mises",tri,quad,1.0
OSSO-4,A,1741,0.214983,"S, Mises",tri,quad,1.0
OSSO-4,B,1198,0.179894,"S, Mises",tri,quad,1.0
OSSO-4,B,1579,0.179894,"S, Mises",tri,quad,1.0
OSSO-4,B,1865,0.179894,"S, Mises",tri,quad,1.0
OSSO-4,C,250,0.106282,"S, Mises",tri,quad,1.0
OSSO-4,C,1998,0.106282,"S, Mises",tri,quad,1.0
OSSO-4,C,2019,0.106282,"S, Mises",tri,quad,1.0
OSSO-4,D,1645,0.091063,"S, Mises",tri,quad,1.0
OSSO-4,D,1708,0.091063,"S, Mises",tri,quad,1.0
OSSO-4,D,1909,0.091063,"S, Mises",tri,quad,1.0
OSSO-4,A,34,0.0025771,"U, Magnitude",quad,quad,5.0
OSSO-4,A,97,0.0025771,"U, Magnitude",quad,quad,5.0
OSSO-4,B,65,0.00420568,"U, Magnitude",quad,quad,5.0
OSSO-4,B,77,0.00420568,"U, Magnitude",quad,quad,5.0
OSSO-4,C,10,0.00553911,"U, Magnitude",quad,quad,5.0
OSSO-4,C,40,0.00553911,"U, Magnitude",quad,quad,5.0
OSSO-4,D,73,0.00120014,"U, Magnitude",quad,quad,5.0
OSSO-4,D,87,0.00120014,"U, Magnitude",quad,quad,5.0
OSSO-4,A,38,0.243885,"S, Mises",tri,lin,5.0
OSSO-4,A,130,0.243885,"S, Mises",tri,lin,5.0
OSSO-4,A,149,0.243885,"S, Mises",tri,lin,5.0
OSSO-4,B,97,0.149577,"S, Mises",tri,lin,5.0
OSSO-4,B,136,0.149577,"S, Mises",tri,lin,5.0
OSSO-4,B,138,0.149577,"S, Mises",tri,lin,5.0
OSSO-4,C,11,0.0956666,"S, Mises",tri,lin,5.0
OSSO-4,C,147,0.0956666,"S, Mises",tri,lin,5.0
OSSO-4,C,278,0.0956666,"S, Mises",tri,lin,5.0
OSSO-4,D,125,0.168858,"S, Mises",tri,lin,5.0
OSSO-4,D,244,0.168858,"S, Mises",tri,lin,5.0
OSSO-4,D,416,0.168858,"S, Mises",tri,lin,5.0
OSSO-4,A,1401,0.00258511,"U, Magnitude",tri,lin,0.25
OSSO-4,A,23557,0.00258511,"U, Magnitude",tri,lin,0.25
OSSO-4,A,30125,0.00258511,"U, Magnitude",tri,lin,0.25
OSSO-4,B,1187,0.00421757,"U, Magnitude",tri,lin,0.25
OSSO-4,B,23607,0.00421757,"U, Magnitude",tri,lin,0.25
OSSO-4,B,23920,0.00421757,"U, Magnitude",tri,lin,0.25
OSSO-4,C,2075,0.00555775,"U, Magnitude",tri,lin,0.25
OSSO-4,C,2215,0.00555775,"U, Magnitude",tri,lin,0.25
OSSO-4,C,23687,0.00555775,"U, Magnitude",tri,lin,0.25
OSSO-4,D,23875,0.001206,"U, Magnitude",tri,lin,0.25
OSSO-4,D,24049,0.001206,"U, Magnitude",tri,lin,0.25
OSSO-4,D,24616,0.001206,"U, Magnitude",tri,lin,0.25
OSSO-4,A,133,0.219119,"S, Mises",quad,lin,1.0
OSSO-4,A,1393,0.219119,"S, Mises",quad,lin,1.0
OSSO-4,B,1078,0.170647,"S, Mises",quad,lin,1.0
OSSO-4,B,1405,0.170647,"S, Mises",quad,lin,1.0
OSSO-4,C,231,0.101557,"S, Mises",quad,lin,1.0
OSSO-4,C,1592,0.101557,"S, Mises",quad,lin,1.0
OSSO-4,D,1451,0.0841454,"S, Mises",quad,lin,1.0
OSSO-4,D,1452,0.0841454,"S, Mises",quad,lin,1.0
OSSO-4,A,1278,0.215003,"S, Mises",quad,quad,0.25
OSSO-4,A,1327,0.215003,"S, Mises",quad,quad,0.25
OSSO-4,B,1119,0.178939,"S, Mises",quad,quad,0.25
OSSO-4,B,20920,0.178939,"S, Mises",quad,quad,0.25
OSSO-4,C,1962,0.105825,"S, Mises",quad,quad,0.25
OSSO-4,C,2094,0.105825,"S, Mises",quad,quad,0.25
OSSO-4,D,4512,0.0894114,"S, Mises",quad,quad,0.25
